RICO GUI,description,method_name,method_id,uuid,key
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_zs_instruction_k_2,15,f3c09b79-e1bc-459c-8335-5fc74ec45e44,0015
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_zs_instruction_k_3,16,cf56c298-dedc-4b6f-86a1-1b196e0d46fb,0016
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_zs_instruction_k_4,17,d4e2b1ec-c4fe-49d2-8ec3-1b65f312d6c7,0017
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_zs_instruction_content_k_3,18,b0a0785c-fdf0-4d49-a31e-726a10ccd277,0018
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_pd_zs_k_3,19,d5d210c3-7c0c-4059-a5e3-5492c783425e,0019
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_rag_zs_k_3_direct_k_3,20,9e3a4577-ef17-40e5-a8fc-545f67902ed3,0020
7144,A registration GUI that requires personal information from new users and show subscribtion options.,01_baselines_zs_instruction,1,279f108f-9637-47f8-b729-8ff8b8b3b57e,0021
7144,A registration GUI that requires personal information from new users and show subscribtion options.,01_baselines_zs_cot,2,273a61c5-46c0-4b22-85d0-1646293f73c0,0022
7144,A registration GUI that requires personal information from new users and show subscribtion options.,01_baselines_zs_cot_content,3,0480776e-f84c-4c6a-a7fc-4ff398493664,0023
7144,A registration GUI that requires personal information from new users and show subscribtion options.,02_prompt_decomposition_pd_zs,4,d4f2ea7b-f92d-46eb-b709-23ac3e4f1655,0024
7144,A registration GUI that requires personal information from new users and show subscribtion options.,02_prompt_decomposition_pd_zs_cot,5,d7599e46-3f07-4bd4-a4ab-801f9556848a,0025
7144,A registration GUI that requires personal information from new users and show subscribtion options.,02_prompt_decomposition_pd_zs_content,6,42138a47-cae2-4f0a-96b5-03e27ea889cf,0026
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_1_direct,7,0a853c92-b692-4ba1-8f71-f4fe8355dfc6,0027
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_3_direct,8,f01181cf-ab87-48f0-8945-75f087be6ae6,0028
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_5_direct,9,705c02bc-9822-4f0a-b3a3-f2b619bfcfe3,0029
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_7_direct,10,03d333ea-efac-439e-98a4-a9ed1ad6510b,0030
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_3_direct_content,11,2750c67d-41a1-49cf-8376-caf2ed2b9b2b,0031
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_3_direct_pd_zs,12,afe34704-ec78-4c1f-b9fd-8434559ad84d,0032
7144,A registration GUI that requires personal information from new users and show subscribtion options.,03_rag_zs_k_3_feat_layout,13,3b802dc7-703a-4296-85e5-04f9d0dd0b5f,0033
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_zs_instruction_k_1,14,00b1ddb8-d3a3-41cd-8f25-e965c79894ce,0034
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_zs_instruction_k_2,15,7fd2dfc9-fa5f-4667-8e6c-3340f3df277a,0035
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_zs_instruction_k_3,16,723136e9-47ca-4e78-852e-7a441b86e2b4,0036
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_zs_instruction_k_4,17,1ce2633d-50e2-4bdc-a1e0-6708aa0fbcb5,0037
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_zs_instruction_content_k_3,18,0b45848b-149c-4810-a6db-63f5ddc54af8,0038
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_pd_zs_k_3,19,9cd802bd-c4d4-4083-bf1d-e83d0a0efad9,0039
7144,A registration GUI that requires personal information from new users and show subscribtion options.,04_self_critique_base_rag_zs_k_3_direct_k_3,20,413acb80-f809-444e-b5a0-b61fb4076eb1,0040
7749,"A page from a news app, where the top stories are shown.",01_baselines_zs_instruction,1,90309e0e-9187-4cf2-8766-d7a678a4545a,0041
7749,"A page from a news app, where the top stories are shown.",01_baselines_zs_cot,2,36fd5632-4314-4da6-b1b0-9486ffca44ce,0042
7749,"A page from a news app, where the top stories are shown.",01_baselines_zs_cot_content,3,5bec4182-2951-4955-9aee-d89638b534dd,0043
7749,"A page from a news app, where the top stories are shown.",02_prompt_decomposition_pd_zs,4,059330df-a26b-4738-95a4-bfc25162359b,0044
7749,"A page from a news app, where the top stories are shown.",02_prompt_decomposition_pd_zs_cot,5,79095924-f7fa-4cd7-bc62-b767732c4357,0045
7749,"A page from a news app, where the top stories are shown.",02_prompt_decomposition_pd_zs_content,6,85c7c54f-9851-4597-a3fc-516576aea2d0,0046
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_1_direct,7,1c211d1c-4bb5-4a39-8c9d-eb703b98375d,0047
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_3_direct,8,a0a60969-7a94-4514-b65d-e743f57c1ddb,0048
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_5_direct,9,fcc0ffab-1c72-45e3-b117-ad1fffccdc5f,0049
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_7_direct,10,6e95c5f3-ba1b-4d8c-8ec7-d74b08e4da3e,0050
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_3_direct_content,11,096fefac-4403-4512-bba5-6da0b10ea351,0051
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_3_direct_pd_zs,12,e6ae8410-4ca7-4374-8720-719904686e06,0052
7749,"A page from a news app, where the top stories are shown.",03_rag_zs_k_3_feat_layout,13,df284f82-4922-4e7a-bc1f-90c169b952c4,0053
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_zs_instruction_k_1,14,e7ce3251-5a07-4668-b02a-d3e75d3fff38,0054
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_zs_instruction_k_2,15,9e8d5f3d-9d3c-41d3-8995-2177d3434b87,0055
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_zs_instruction_k_3,16,dac0a112-25c6-43cd-990e-eddf9ba75ed5,0056
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_zs_instruction_k_4,17,9705a3c2-d354-4624-97b9-0c05bb92a1ba,0057
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_zs_instruction_content_k_3,18,2b1c5148-a4bf-487c-9aae-44ddb076fc0a,0058
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_pd_zs_k_3,19,f3f96446-03d6-4875-845a-593e479bce69,0059
7749,"A page from a news app, where the top stories are shown.",04_self_critique_base_rag_zs_k_3_direct_k_3,20,70736be2-d32d-42b9-a562-d5019a36dcab,0060
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",01_baselines_zs_instruction,1,ccd98e02-4a31-4f20-94a2-ae4d6789e1b4,0061
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",01_baselines_zs_cot,2,82b3a68a-4959-4d9c-befb-5b655b4741a9,0062
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",01_baselines_zs_cot_content,3,69afa9a2-3b24-4093-98a9-ba7273a4048b,0063
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",02_prompt_decomposition_pd_zs,4,494be3ef-4a43-4980-a488-0d9af21208ae,0064
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",02_prompt_decomposition_pd_zs_cot,5,11e081bd-b9f2-4ca3-b012-79b2c6b287dd,0065
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",02_prompt_decomposition_pd_zs_content,6,db6ca40a-15d3-4675-ab54-b5134ec9fcae,0066
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_1_direct,7,d6cedfea-4895-4462-8759-f4d1f51d4b00,0067
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_3_direct,8,4229fe1a-5027-4b4e-8143-0b6ce478950d,0068
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_5_direct,9,e7ca0345-00e1-4d43-8c57-71984ed118ae,0069
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_7_direct,10,6160055f-2e09-4cd2-bb34-5c098b7ae989,0070
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_3_direct_content,11,d7a2d4b3-d0ea-40b9-96fc-22843c161fb5,0071
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_3_direct_pd_zs,12,2ce3a70c-71ed-4ba4-8772-82e9880a6537,0072
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",03_rag_zs_k_3_feat_layout,13,71afc738-a163-48fc-a57b-9316f1da82d7,0073
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_zs_instruction_k_1,14,fcd6744a-f579-474c-9901-05de855f7f35,0074
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_zs_instruction_k_2,15,681e5598-ba9b-48b8-89aa-a50ca9934220,0075
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_zs_instruction_k_3,16,d420b177-be43-43a6-a583-63dab1313559,0076
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_zs_instruction_k_4,17,edbe976d-b2a4-4f64-90b6-4ee168d9472d,0077
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_zs_instruction_content_k_3,18,a9355357-d6f2-4ca3-b87a-2a81ae768a01,0078
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_pd_zs_k_3,19,b2b0759a-870a-4686-b2cd-abe6b50de93b,0079
10428,"an organisational app GUI, allowing the user to list the grocerys and save recipes",04_self_critique_base_rag_zs_k_3_direct_k_3,20,87cc6b14-5a03-481a-a2e3-3216caff28a4,0080
11579,a page from a language learning app showing common phrases in Spanish and their translations.,01_baselines_zs_instruction,1,d1cc7988-4cfd-457f-a8b4-5092d2a3e375,0081
11579,a page from a language learning app showing common phrases in Spanish and their translations.,01_baselines_zs_cot,2,25d75730-781c-4903-bc89-83ba5e441c89,0082
11579,a page from a language learning app showing common phrases in Spanish and their translations.,01_baselines_zs_cot_content,3,3dd16e0b-afe0-4078-8868-746e9b9ef830,0083
11579,a page from a language learning app showing common phrases in Spanish and their translations.,02_prompt_decomposition_pd_zs,4,6081d750-7c46-4153-9b63-70fec47c0c47,0084
11579,a page from a language learning app showing common phrases in Spanish and their translations.,02_prompt_decomposition_pd_zs_cot,5,dd93d46e-7ecb-45f4-9dfb-362406873c01,0085
11579,a page from a language learning app showing common phrases in Spanish and their translations.,02_prompt_decomposition_pd_zs_content,6,4e53a53f-c0e6-49e0-95bc-7e41371acf30,0086
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_1_direct,7,b5a3ecd7-b9eb-4469-9342-3afa7c0ae26e,0087
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_3_direct,8,f7f7933d-e359-475e-8248-73f232da5c0e,0088
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_5_direct,9,d6ebad64-9381-4605-a615-991b7eca4927,0089
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_7_direct,10,c418fc09-e79f-40c2-b5a9-07f16b326f5a,0090
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_3_direct_content,11,df0ffcca-dda0-473b-9e11-29950b886c3c,0091
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_3_direct_pd_zs,12,5d83c7dd-b19d-4b41-8113-14c0f5cf2a0b,0092
11579,a page from a language learning app showing common phrases in Spanish and their translations.,03_rag_zs_k_3_feat_layout,13,506e691d-0993-4d24-a3de-cd73ee697808,0093
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_zs_instruction_k_1,14,a9b77182-4bb5-4df8-977b-1c209c617a90,0094
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_zs_instruction_k_2,15,5dc73e65-3548-4895-9fdc-508a4f1bf49f,0095
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_zs_instruction_k_3,16,3f103686-785f-4584-a70d-f72c7628fde2,0096
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_zs_instruction_k_4,17,d078efcb-46d6-4fd3-9d83-bfbc788b7e29,0097
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_zs_instruction_content_k_3,18,7632e812-b109-4456-a749-528e330dd7b9,0098
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_pd_zs_k_3,19,58f95ce4-65d2-4cc1-9b2d-aeda1e8914e9,0099
11579,a page from a language learning app showing common phrases in Spanish and their translations.,04_self_critique_base_rag_zs_k_3_direct_k_3,20,c0e3d26d-37dd-4292-a196-de518b1e4791,0100
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,01_baselines_zs_instruction,1,edb504b4-07d6-4086-b068-1e44f2737a52,0101
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,01_baselines_zs_cot,2,2ed36051-0feb-4aee-8713-2fa53a54a539,0102
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,01_baselines_zs_cot_content,3,ceb38cc6-9b89-4dd7-aa2b-f19b6ed03895,0103
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,02_prompt_decomposition_pd_zs,4,7937037b-4424-4609-b0cb-030d8fe29c59,0104
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,02_prompt_decomposition_pd_zs_cot,5,c9b51f84-26bf-4320-8703-ca440322c84c,0105
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,02_prompt_decomposition_pd_zs_content,6,3da4cfbe-7963-4bcf-84d8-b0c959535a71,0106
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_1_direct,7,834e3301-6d1a-4d54-807c-8e407559aa09,0107
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_3_direct,8,2b2bc525-affb-4b1f-b5b3-2cca05249fbe,0108
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_5_direct,9,306935a9-1128-4644-b73c-b7f6b617d8b0,0109
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_7_direct,10,c831fde0-42d7-4456-b600-d49dd937d67f,0110
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_3_direct_content,11,0052fb18-e981-40e3-9b99-a1fef683692a,0111
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_3_direct_pd_zs,12,a1a981ef-38a4-4221-96f4-95cdad810c69,0112
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,03_rag_zs_k_3_feat_layout,13,5bb1d6d1-83bb-4c04-9b72-7a9847814bf2,0113
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_zs_instruction_k_1,14,e3e709a0-3282-4779-884e-d9ec482095bb,0114
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_zs_instruction_k_2,15,92dd61be-ca1e-4afa-ad64-2798ec66fb30,0115
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_zs_instruction_k_3,16,8a9cc3f7-dbe0-4382-8739-fa4c204a0074,0116
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_zs_instruction_k_4,17,00e93f7e-c5dc-48a6-975d-3460846997d5,0117
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_zs_instruction_content_k_3,18,f1885d3c-bda2-408c-8529-c501ea32af32,0118
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_pd_zs_k_3,19,ddaa9c86-a518-4ffc-b069-b40bb5d3d87b,0119
12905,This is a plattform which helps you finding the right and the next possible shops for your enquirries.,04_self_critique_base_rag_zs_k_3_direct_k_3,20,c298f02c-db5a-4384-9fac-7720b8bf9054,0120
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,01_baselines_zs_instruction,1,fd2b4010-17e1-48b9-8c8e-f81ba0ecfb38,0121
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,01_baselines_zs_cot,2,52a51f8c-a7a3-4f5b-bd68-cb4ce5d76aa0,0122
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,01_baselines_zs_cot_content,3,8c4407ee-b67c-4322-bd7e-220553e00df3,0123
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,02_prompt_decomposition_pd_zs,4,727bd755-0136-4b43-98a7-21a76c4ff007,0124
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,02_prompt_decomposition_pd_zs_cot,5,5ff2a263-57d7-49f6-902f-cf5971aa4dbb,0125
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,02_prompt_decomposition_pd_zs_content,6,55ae7071-9d22-4855-b21c-15bac0af9815,0126
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_1_direct,7,f4474b25-f991-4f4e-9cfc-5abf83fd2cd8,0127
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_3_direct,8,6533818a-0958-4149-994c-4813568a8e33,0128
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_5_direct,9,42baaaea-cdbe-41fb-b743-9af9a16bc4be,0129
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_7_direct,10,ae059db5-4932-4622-af69-0278bc04b888,0130
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_3_direct_content,11,d2281c5f-2837-483e-b433-d12dbd1a5f12,0131
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_3_direct_pd_zs,12,fe60adbe-15a5-4c31-bde8-badf3d831b52,0132
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,03_rag_zs_k_3_feat_layout,13,8c396170-9a15-4028-ab85-a9af65c28886,0133
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_zs_instruction_k_1,14,986e3087-75dd-429f-a445-5f04e755d1cb,0134
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_zs_instruction_k_2,15,acddf7bd-bfc2-487d-ac44-d940b06be4cf,0135
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_zs_instruction_k_3,16,c9e030a3-07e9-46fe-b3ef-da47e4705e23,0136
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_zs_instruction_k_4,17,bb37e0a1-4658-49da-81de-a83a8f96ca10,0137
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_zs_instruction_content_k_3,18,c005ab20-719a-464e-921b-60eefde4fa1c,0138
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_pd_zs_k_3,19,5437b34f-ea09-4a9a-9d2d-cc618a97b31a,0139
14854,A weather app GUI that shows the weather forecast for a given city in the following 7 days.,04_self_critique_base_rag_zs_k_3_direct_k_3,20,8267e986-bd61-48f5-b6cf-0f649ab5a661,0140
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",01_baselines_zs_instruction,1,4730af29-bfa2-4f99-ae77-57852c90fbc1,0141
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",01_baselines_zs_cot,2,173afc6f-ad5d-4586-ab5f-61dbe74f270a,0142
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",01_baselines_zs_cot_content,3,a2edd34e-4dc3-455a-b2e7-586dd919fdcd,0143
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",02_prompt_decomposition_pd_zs,4,a223b2af-610b-4ec1-9586-31e00f84d4f6,0144
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",02_prompt_decomposition_pd_zs_cot,5,b3b2f559-8eb7-4797-83dd-394ecad319f4,0145
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",02_prompt_decomposition_pd_zs_content,6,19ea7823-b065-4b69-9a81-c48588d50182,0146
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_1_direct,7,c6996f8b-5268-4e10-b8fa-9c149a2ca2f5,0147
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_3_direct,8,539b93cc-f44b-4d16-b8b5-e94c829db592,0148
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_5_direct,9,0d148925-46e3-4059-be50-23b09346fdbb,0149
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_7_direct,10,02f954b9-dad9-4920-9d9b-12b19e581bf3,0150
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_3_direct_content,11,92afcb40-7de6-411c-893c-50038edacfea,0151
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_3_direct_pd_zs,12,9dcb8e4f-9290-4a2f-9f62-c096ca9164f9,0152
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",03_rag_zs_k_3_feat_layout,13,344f9162-77ca-40b6-95bf-cf41c9a39cb1,0153
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_zs_instruction_k_1,14,3952a15b-8fcd-4d6e-8010-780bc5a0f8a5,0154
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_zs_instruction_k_2,15,31b349de-b184-46da-9642-83f97510f03e,0155
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_zs_instruction_k_3,16,a51bf7e8-733d-4ef2-8355-d6e41925230e,0156
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_zs_instruction_k_4,17,75a6a698-69e2-482e-9005-863aa1e252d1,0157
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_zs_instruction_content_k_3,18,f16da868-2425-4b1b-be84-b33999b92242,0158
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_pd_zs_k_3,19,77ed593b-14ae-4d79-a7e1-fa624e232b93,0159
18269,"A page of a menu of a restaurunt. An overview of all items is shown, there is an ability to save items and look at the history of orders. The location and order type can be specified",04_self_critique_base_rag_zs_k_3_direct_k_3,20,ebe562e7-6ffc-47cc-8c19-55718cb9cb06,0160
19228,"The page shows a form which has to filled out, to submit a picture. The user has to state his or her email, the title of the picture and is free to give a description. The location has to be stated as well and one has to agree to the terms of submission",01_baselines_zs_instruction,1,bd28e13c-f2fc-4732-a09f-a656609d15d3,0161
19228,"The page shows a form which has to filled out, to submit a picture. The user has to state his or her email, the title of the picture and is free to give a description. The location has to be stated as well and one has to agree to the terms of submission",01_baselines_zs_cot,2,0dd12c9a-fb99-4934-bba8-78116a704f83,0162
19228,"The page shows a form which has to filled out, to submit a picture. The user has to state his or her email, the title of the picture and is free to give a description. The location has to be stated as well and one has to agree to the terms of submission",01_baselines_zs_cot_content,3,5e1952c2-7e5a-4806-be70-122ccfba580d,0163
